Number of Deposits,Number of Withdrawals,"Paid Previous Loan (0-No, 1-Yes)",Salary,Age,Account Balance,Loan Amount Requested,Number of Late Payments,Credit Score (0-100),Years at Current Job,Loan Approval
8,17,0,47164,23,13318,243808,2,55,2,Not Qualify for Loan
6,10,0,58564,34,33998,73395,9,42,5,Not Qualify for Loan
13,4,1,137379,26,176131,73289,0,95,2,Qualify for Loan
18,6,1,166479,48,186213,78884,1,90,9,Qualify for Loan
12,5,1,64285,51,223880,69198,0,92,6,Qualify for Loan
12,1,1,172311,51,295546,176945,0,87,14,Qualify for Loan
8,3,1,147455,25,275732,143179,0,85,4,Qualify for Loan
17,6,1,165200,32,139489,76806,0,94,9,Qualify for Loan
0,5,0,28624,24,39194,139903,7,59,4,Not Qualify for Loan
10,5,1,72955,37,291324,60207,1,82,14,Qualify for Loan
9,4,1,145113,38,196106,186198,0,84,8,Qualify for Loan
12,4,1,159006,49,254054,100583,0,75,13,Qualify for Loan
18,1,1,170526,35,170927,58026,1,80,3,Qualify for Loan
8,7,1,109449,35,270715,158940,1,83,3,Qualify for Loan
13,0,1,188510,28,55744,188141,1,93,12,Qualify for Loan
19,1,1,145432,42,142949,183533,1,90,13,Qualify for Loan
10,1,1,60609,27,180513,154211,1,79,10,Qualify for Loan
9,11,1,35446,28,206,248126,3,61,3,Not Qualify for Loan
7,18,0,48429,33,22010,38787,2,44,5,Not Qualify for Loan
19,1,1,91745,41,141865,162428,0,78,11,Qualify for Loan
5,9,0,58861,28,30116,111029,8,51,4,Not Qualify for Loan
11,5,1,148777,50,191877,76832,1,83,10,Qualify for Loan
0,15,1,28088,32,33130,212828,2,61,3,Not Qualify for Loan
8,4,1,126716,30,93056,198781,0,99,9,Qualify for Loan
4,7,0,40257,23,30453,166304,3,39,5,Not Qualify for Loan
0,6,0,12573,28,35367,129608,8,28,5,Not Qualify for Loan
16,3,1,195289,54,269780,82994,0,97,14,Qualify for Loan
9,3,1,89522,50,185958,161249,1,86,7,Qualify for Loan
16,3,1,48259,52,178775,64849,0,98,7,Qualify for Loan
10,0,1,63429,49,252380,151268,1,73,10,Qualify for Loan
9,2,1,60358,28,132745,139588,1,82,12,Qualify for Loan
6,18,0,11088,23,32792,170836,2,34,4,Not Qualify for Loan
11,7,1,91991,40,154182,144704,1,96,5,Qualify for Loan
11,7,1,173663,47,291503,141683,1,79,2,Qualify for Loan
14,1,1,51745,38,194097,173395,0,72,14,Qualify for Loan
14,0,1,83764,47,182206,112943,1,84,2,Qualify for Loan
3,10,1,18601,22,21288,125081,7,30,1,Not Qualify for Loan
8,4,1,99821,38,299265,185601,1,70,8,Qualify for Loan
7,15,0,59786,25,18440,147832,8,50,0,Not Qualify for Loan
9,7,1,115418,41,178232,194059,1,93,14,Qualify for Loan
5,17,1,57280,23,16779,225004,2,38,3,Not Qualify for Loan
17,7,1,161172,31,272819,106573,1,74,8,Qualify for Loan
18,5,1,51120,30,189839,72852,1,71,5,Qualify for Loan
14,3,1,88231,46,272724,68752,0,99,6,Qualify for Loan
11,0,1,181706,45,298115,170575,0,90,11,Qualify for Loan
9,1,1,152859,46,181926,140084,1,70,2,Qualify for Loan
12,4,1,149869,44,98781,103798,0,72,13,Qualify for Loan
12,6,1,63199,38,213187,55520,0,77,6,Qualify for Loan
9,1,1,197757,41,162855,57906,1,82,9,Qualify for Loan
11,3,1,73848,37,196451,77766,0,73,14,Qualify for Loan
1,7,1,39038,34,29315,99212,4,28,2,Not Qualify for Loan
4,11,0,34363,37,10181,135361,4,41,4,Not Qualify for Loan
17,2,1,64472,27,281534,104131,1,98,12,Qualify for Loan
9,5,1,90669,30,290225,119184,1,90,6,Qualify for Loan
10,7,1,184941,52,291133,113353,0,72,6,Qualify for Loan
4,12,1,28990,39,5906,147961,5,37,3,Not Qualify for Loan
12,7,1,100920,47,113530,57788,0,93,4,Qualify for Loan
12,7,1,86305,46,59346,50587,1,99,11,Qualify for Loan
7,7,0,23409,22,29866,164055,3,42,3,Not Qualify for Loan
5,9,0,10822,35,47057,36150,3,26,0,Not Qualify for Loan
9,16,0,18502,22,545,155341,4,32,4,Not Qualify for Loan
2,19,0,26499,32,8016,32384,2,52,2,Not Qualify for Loan
3,19,1,56685,43,47077,43234,7,21,2,Not Qualify for Loan
7,6,0,48814,33,15649,198785,9,53,2,Not Qualify for Loan
12,4,1,151195,34,86668,73061,0,75,2,Qualify for Loan
13,0,1,116240,36,271135,66322,1,94,7,Qualify for Loan
16,0,1,176535,29,120448,54648,0,93,6,Qualify for Loan
10,3,1,143896,25,291968,189999,0,72,13,Qualify for Loan
6,14,0,35396,20,36413,173888,4,44,2,Not Qualify for Loan
0,15,0,23490,41,45719,97526,5,25,4,Not Qualify for Loan
18,5,1,54995,32,291959,139049,1,86,5,Qualify for Loan
19,5,1,105318,26,270546,117172,0,93,2,Qualify for Loan
7,12,1,13389,39,13629,91550,4,26,2,Not Qualify for Loan
12,0,1,44835,51,228677,171790,0,78,2,Qualify for Loan
2,9,0,29282,33,40345,155501,5,44,4,Not Qualify for Loan
10,6,1,69725,31,154555,59496,1,74,9,Qualify for Loan
8,5,0,30538,34,14973,101155,2,64,5,Not Qualify for Loan
4,16,0,11988,37,44505,158467,2,46,0,Not Qualify for Loan
11,4,1,87362,25,173781,115545,0,92,11,Qualify for Loan
